d_3p_del,d_gene,count
0,IGHD2-8*02,29
3,IGHD1/OR15-1a*01,6
5,IGHD3-3*01,7
26,IGHD3-16*01,1
15,IGHD2-8*01,11
16,IGHD3-3*01,1
21,IGHD3-10*01,25
22,IGHD3-3*01,86
4,IGHD6-13*01,18
0,IGHD1/OR15-1a*01,2
6,IGHD2-21*02,9
14,IGHD3-3*02,2
0,IGHD2-21*01,7
6,IGHD4-23*01,12
9,IGHD2/OR15-2a*01,3
1,IGHD6-13*01,124
25,IGHD2-15*01,1
3,IGHD1-26*01,46
18,IGHD2-21*02,3
11,IGHD2-15*01,20
8,IGHD2-2*02,5
15,IGHD4-23*01,6
4,IGHD5-18*01,124
7,IGHD1-1*01,27
17,IGHD2-8*02,2
5,IGHD3-22*01,310
4,IGHD5-24*01,215
12,IGHD2/OR15-2a*01,2
0,IGHD2/OR15-2a*01,37
3,IGHD3-22*01,10
9,IGHD4-23*01,1
29,IGHD3-16*02,1
5,IGHD6-19*01,32
20,IGHD2-8*01,1
5,IGHD3-9*01,1
10,IGHD3-9*01,332
4,IGHD3-10*01,384
33,IGHD3-16*02,6
24,IGHD3-10*01,4
0,IGHD3-3*02,30
6,IGHD2-2*01,4
24,IGHD3/OR15-3a*01,2
2,IGHD6-19*01,12
14,IGHD2-2*03,1
1,IGHD5-12*01,642
0,IGHD3-22*01,287
7,IGHD2-2*02,1
9,IGHD4-11*01,1
0,IGHD2-2*02,13
0,IGHD3-10*01,282
23,IGHD2-15*01,2
6,IGHD6-6*01,3
4,IGHD3-22*01,20
10,IGHD2-15*01,6
10,IGHD4-23*01,4
10,IGHD2/OR15-2a*01,1
11,IGHD3-9*01,18
10,IGHD6-19*01,2
23,IGHD3/OR15-3a*01,1
14,IGHD2/OR15-2a*01,1
6,IGHD1-20*01,1
16,IGHD3/OR15-3a*01,16
3,IGHD3-16*02,363
24,IGHD3-16*01,2
13,IGHD5-18*01,1
13,IGHD3-16*01,1
3,IGHD2-21*01,1
8,IGHD3-22*01,9
4,IGHD3/OR15-3a*01,1
12,IGHD4-23*01,21
12,IGHD2-8*02,1
6,IGHD1-26*01,5
7,IGHD2-8*02,13
3,IGHD4-23*01,30
6,IGHD3-3*01,8
6,IGHD2-8*02,16
3,IGHD1-20*01,9
6,IGHD2-2*03,18
4,IGHD2-2*01,4
13,IGHD2-8*01,266
5,IGHD2-21*02,6
16,IGHD2-8*01,27
12,IGHD3-3*01,2
2,IGHD2-21*02,73
11,IGHD2-2*01,1
9,IGHD2-21*02,4
4,IGHD3-16*02,13
3,IGHD3-9*01,50
3,IGHD5-12*01,8
17,IGHD3-10*01,1
2,IGHD5-18*01,2
3,IGHD1-14*01,1
9,IGHD3-3*02,94
3,IGHD6-25*01,1
8,IGHD3-16*02,57
11,IGHD3-3*01,3
6,IGHD3-10*01,31
11,IGHD3-10*01,4
14,IGHD2-2*01,13
0,IGHD5-24*01,44
10,IGHD2-21*02,11
1,IGHD6-6*01,104
15,IGHD3-9*01,3
4,IGHD6-19*01,19
3,IGHD2-8*01,4
8,IGHD2-15*01,1
2,IGHD3-10*01,1
0,IGHD4/OR15-4a*01,35
23,IGHD3-10*01,1
5,IGHD3-16*02,35
0,IGHD1-1*01,75
4,IGHD1-1*01,3
5,IGHD2-2*03,3
7,IGHD6-19*01,1
3,IGHD2-2*01,169
14,IGHD2-15*01,1
8,IGHD2-2*01,42
7,IGHD2-15*01,8
1,IGHD5-18*01,29
11,IGHD3-16*01,3
9,IGHD3-16*02,9
10,IGHD5-24*01,36
22,IGHD3-16*02,6
15,IGHD3/OR15-3a*01,14
19,IGHD3-16*02,1
24,IGHD2/OR15-2a*01,1
14,IGHD3-16*02,1
2,IGHD6-6*01,32
7,IGHD3-3*02,2
4,IGHD5-12*01,47
4,IGHD2-2*03,1
1,IGHD3-9*01,3
0,IGHD1-26*01,823
10,IGHD3-3*02,1
33,IGHD3-16*01,1
15,IGHD2-21*01,2
0,IGHD3-3*01,147
8,IGHD3-10*01,70
0,IGHD3/OR15-3a*01,87
8,IGHD4-23*01,4
7,IGHD4-17*01,130
11,IGHD2-2*03,4
4,IGHD1-20*01,1
16,IGHD5/OR15-5a*01,1
15,IGHD3-16*01,2
0,IGHD3-16*01,169
14,IGHD4-23*01,26
0,IGHD5-18*01,375
5,IGHD2/OR15-2a*01,1
5,IGHD6-25*01,1
14,IGHD2-21*01,2
1,IGHD3-16*02,2
5,IGHD5/OR15-5a*01,2
2,IGHD2-2*03,284
23,IGHD3-16*02,2
0,IGHD2-2*01,141
3,IGHD6-13*01,61
0,IGHD1-7*01,163
13,IGHD3-3*01,4
1,IGHD1-20*01,182
3,IGHD4/OR15-4a*01,1
13,IGHD3-10*01,3
12,IGHD3-9*01,1
4,IGHD4-11*01,1
1,IGHD7-27*01,1
22,IGHD2/OR15-2a*01,1
0,IGHD6-13*01,345
24,IGHD3-16*02,4
22,IGHD3-3*02,1
22,IGHD3-10*01,1
8,IGHD3-9*01,2
15,IGHD3-10*02,14
1,IGHD1/OR15-1a*01,1
1,IGHD4-11*01,3
13,IGHD3/OR15-3a*01,3
9,IGHD3-10*01,3
6,IGHD2-8*01,4
22,IGHD2-15*01,10
5,IGHD2-2*01,88
5,IGHD2-8*02,6
3,IGHD2-2*03,35
8,IGHD2-2*03,2
11,IGHD1-20*01,1
7,IGHD4-23*01,5
5,IGHD2-15*01,31
0,IGHD1-14*01,6
12,IGHD1-1*01,8
10,IGHD4-17*01,27
5,IGHD3-10*02,2
13,IGHD3-9*01,13
25,IGHD3-16*02,8
5,IGHD1-26*01,1
6,IGHD6-19*01,1
18,IGHD3-22*01,8
2,IGHD3-3*01,2
4,IGHD3-3*02,3
23,IGHD2-21*02,3
4,IGHD4-23*01,1
21,IGHD3-3*02,6
12,IGHD3-16*01,1
2,IGHD2-2*01,80
0,IGHD2-2*03,13
11,IGHD4-23*01,3
4,IGHD2-15*01,17
0,IGHD5/OR15-5a*01,22
0,IGHD6-25*01,2
26,IGHD3/OR15-3a*01,6
1,IGHD3-3*01,10
16,IGHD3-16*01,2
5,IGHD3-16*01,3
6,IGHD3-16*01,49
0,IGHD6-6*01,99
0,IGHD2-8*01,21
19,IGHD3-10*02,9
26,IGHD3-16*02,42
15,IGHD5-12*01,2
1,IGHD4-17*01,45
19,IGHD2/OR15-2a*01,1
7,IGHD6-6*01,1
7,IGHD2-8*01,1
5,IGHD3/OR15-3a*01,6
23,IGHD3-3*01,4
9,IGHD3-16*01,17
14,IGHD3-3*01,21
27,IGHD3/OR15-3a*01,1
8,IGHD5/OR15-5a*01,3
7,IGHD2-2*01,18
1,IGHD4-23*01,1
9,IGHD3/OR15-3a*01,84
17,IGHD3/OR15-3a*01,4
18,IGHD2-21*01,46
9,IGHD1-26*01,2
16,IGHD2-8*02,3
2,IGHD3-9*01,1
3,IGHD2-15*01,231
12,IGHD2-21*01,6
6,IGHD2-15*01,3
13,IGHD2-2*02,5
10,IGHD3/OR15-3a*01,47
9,IGHD5-12*01,2
18,IGHD3/OR15-3a*01,21
11,IGHD3-22*01,4
0,IGHD3-16*02,91
17,IGHD3-10*02,1
5,IGHD6-13*01,8
18,IGHD3-10*01,18
3,IGHD3-10*01,18
8,IGHD2/OR15-2a*01,5
1,IGHD2-2*01,5
4,IGHD3-10*02,11
1,IGHD6-19*01,91
3,IGHD5-24*01,23
13,IGHD3-3*02,4
12,IGHD3-10*01,26
6,IGHD3-22*01,12
13,IGHD2-8*02,2
2,IGHD5-24*01,3
0,IGHD5-12*01,86
16,IGHD6-19*01,5
16,IGHD2/OR15-2a*01,280
16,IGHD2-15*01,2
20,IGHD2/OR15-2a*01,6
15,IGHD3-10*01,103
0,IGHD3-10*02,30
14,IGHD3-9*01,22
0,IGHD4-11*01,143
2,IGHD1-14*01,69
17,IGHD3-9*01,1
3,IGHD3-16*01,1
2,IGHD2-15*01,19
17,IGHD2-21*01,4
7,IGHD3-10*01,3
9,IGHD2-8*02,1
14,IGHD1-20*01,14
11,IGHD4-17*01,12
11,IGHD3-16*02,2
21,IGHD3-16*01,22
0,IGHD2-21*02,56
7,IGHD2-2*03,1
10,IGHD5-12*01,46
5,IGHD5-12*01,14
7,IGHD3-3*01,30
18,IGHD2-8*02,1
8,IGHD3-3*01,19
0,IGHD3-9*01,105
20,IGHD3-9*01,1
21,IGHD3-22*01,2
10,IGHD2-2*01,1
13,IGHD2-21*02,1
7,IGHD3-16*01,11
11,IGHD2-8*02,36
1,IGHD2-15*01,89
7,IGHD2-21*02,15
2,IGHD4-17*01,75
9,IGHD3-9*01,4
10,IGHD1-1*01,1194
21,IGHD3-3*01,13
10,IGHD3-16*01,9
5,IGHD1-20*01,3
14,IGHD3-22*01,4
5,IGHD5-24*01,2
2,IGHD1-26*01,211
25,IGHD3-10*01,2
7,IGHD5-18*01,10
7,IGHD3-22*01,191
1,IGHD3-3*02,2
13,IGHD3-10*02,2
16,IGHD3-16*02,6
3,IGHD3-3*01,28
12,IGHD2-2*02,2
10,IGHD2-21*01,4
28,IGHD3-3*01,1
19,IGHD3-10*01,2
16,IGHD2-21*01,1
7,IGHD3-10*02,6
19,IGHD3/OR15-3a*01,5
