d_gene,count
IGHD5/OR15-5a*01,49
IGHD2-8*02,111
IGHD3-10*01,1273
IGHD6-6*01,239
IGHD6-13*01,683
IGHD1-7*01,343
IGHD5-18*01,548
IGHD1-26*01,1161
IGHD4-17*01,533
IGHD3-22*01,977
IGHD2-2*02,303
IGHD3-3*01,483
IGHD2-21*02,206
IGHD2-15*01,625
IGHD6-25*01,4
IGHD1-20*01,279
IGHD6-19*01,777
IGHD1/OR15-1a*01,9
IGHD4/OR15-4a*01,36
IGHD3-16*01,330
IGHD3-9*01,606
IGHD2-8*01,338
IGHD5-24*01,352
IGHD3/OR15-3a*01,305
IGHD3-10*02,87
IGHD7-27*01,11
IGHD1-14*01,76
IGHD1-1*01,1307
IGHD5-12*01,857
IGHD2-2*01,566
IGHD2-2*03,362
IGHD4-11*01,149
IGHD2-21*01,289
IGHD4-23*01,468
IGHD3-3*02,152
IGHD2/OR15-2a*01,349
IGHD3-16*02,946
