vd_insertion,d_gene,count
0,IGHD2-8*02,49
13,IGHD3-9*01,1
5,IGHD3-3*01,15
24,IGHD5-24*01,1
7,IGHD5/OR15-5a*01,4
12,IGHD3-9*01,1
16,IGHD3-3*01,6
1,IGHD3-16*01,129
22,IGHD3-3*01,13
18,IGHD3-9*01,3
13,IGHD5-24*01,1
47,IGHD3-3*01,1
20,IGHD6-19*01,7
39,IGHD5-24*01,1
35,IGHD3-16*02,1
19,IGHD3-16*02,5
22,IGHD2-2*03,3
15,IGHD2-8*01,4
6,IGHD2-21*02,16
20,IGHD2-2*01,16
4,IGHD4/OR15-4a*01,2
6,IGHD4-23*01,225
49,IGHD3-3*01,1
23,IGHD3-10*02,4
17,IGHD2-21*02,3
24,IGHD3-10*02,3
1,IGHD6-13*01,26
33,IGHD4-17*01,2
25,IGHD2-15*01,2
3,IGHD1-26*01,92
18,IGHD2-21*02,6
8,IGHD1-26*01,130
11,IGHD2-15*01,3
3,IGHD2-8*01,10
4,IGHD2-21*01,2
15,IGHD4-23*01,5
4,IGHD5-18*01,117
7,IGHD1-1*01,7
14,IGHD3-10*01,3
28,IGHD4-17*01,1
3,IGHD4-17*01,14
1,IGHD1-1*01,20
8,IGHD6-13*01,69
8,IGHD3-3*02,9
13,IGHD1-1*01,1
4,IGHD5-24*01,10
18,IGHD5-18*01,10
4,IGHD1-7*01,4
3,IGHD3-22*01,50
9,IGHD4-23*01,9
8,IGHD2-21*01,2
29,IGHD3-16*02,4
30,IGHD2-2*01,6
17,IGHD3-3*02,1
42,IGHD1-1*01,2
5,IGHD6-19*01,11
20,IGHD2-8*01,10
5,IGHD3-9*01,242
10,IGHD3-9*01,37
25,IGHD3-9*01,1
4,IGHD3-10*01,38
16,IGHD4-23*01,1
24,IGHD3-10*01,4
0,IGHD3-3*02,15
7,IGHD3-3*02,5
20,IGHD6-13*01,2
15,IGHD3-3*01,34
2,IGHD6-19*01,11
20,IGHD3-16*02,4
7,IGHD1-26*01,20
12,IGHD2-2*01,2
1,IGHD5-12*01,655
0,IGHD3-22*01,30
17,IGHD6-19*01,7
3,IGHD5-18*01,5
6,IGHD1-14*01,2
3,IGHD3/OR15-3a*01,10
6,IGHD3-3*01,11
21,IGHD2-2*03,2
9,IGHD4-11*01,3
19,IGHD2-2*01,1
0,IGHD2-2*02,43
7,IGHD3-22*01,91
