dj_insertion,j_gene,count
7,IGHJ6*03,19
5,IGHJ4*03,1
19,IGHJ3*01,14
10,IGHJ3*01,6
1,IGHJ3*01,12
8,IGHJ1*01,27
6,IGHJ6*03,19
32,IGHJ4*01,1
10,IGHJ6*03,7
3,IGHJ4*01,25
3,IGHJ4*03,4
13,IGHJ4*02,84
3,IGHJ2*01,17
18,IGHJ4*02,2
0,IGHJ5*01,9
0,IGHJ6*03,1256
24,IGHJ6*04,1
10,IGHJ4*02,32
14,IGHJ3*02,4
24,IGHJ1*01,1
9,IGHJ4*01,3
9,IGHJ1*01,23
6,IGHJ4*03,1
1,IGHJ3*02,186
5,IGHJ5*02,26
21,IGHJ3*01,1
8,IGHJ4*03,1
22,IGHJ6*03,2
30,IGHJ3*01,1
4,IGHJ2*01,1
15,IGHJ5*02,12
0,IGHJ6*04,175
17,IGHJ5*02,3
0,IGHJ4*02,3292
14,IGHJ5*02,13
13,IGHJ4*01,1
14,IGHJ6*02,4
12,IGHJ3*02,42
18,IGHJ5*02,1
21,IGHJ3*02,2
1,IGHJ5*02,55
17,IGHJ4*02,6
23,IGHJ3*01,1
18,IGHJ3*01,1
2,IGHJ6*03,15
8,IGHJ5*02,29
2,IGHJ1*01,11
27,IGHJ4*02,1
11,IGHJ6*02,5
7,IGHJ4*02,786
11,IGHJ5*02,30
1,IGHJ4*02,334
15,IGHJ3*02,25
19,IGHJ4*02,1
36,IGHJ6*02,1
24,IGHJ4*02,2
4,IGHJ4*02,401
14,IGHJ4*02,183
2,IGHJ3*02,438
3,IGHJ6*03,220
3,IGHJ3*01,10
31,IGHJ4*02,1
7,IGHJ4*01,8
7,IGHJ6*02,124
12,IGHJ6*02,2
5,IGHJ4*02,144
19,IGHJ3*02,9
9,IGHJ6*03,48
5,IGHJ6*04,1
13,IGHJ6*03,20
34,IGHJ3*01,1
10,IGHJ5*02,49
7,IGHJ6*01,1
7,IGHJ2*01,11
13,IGHJ6*02,1
13,IGHJ5*02,30
19,IGHJ6*03,1
18,IGHJ6*02,1
14,IGHJ3*01,2
11,IGHJ4*03,1
5,IGHJ3*01,24
10,IGHJ1*01,6
0,IGHJ3*02,490
1,IGHJ4*03,1
8,IGHJ4*01,5
16,IGHJ1*01,2
6,IGHJ6*01,1
5,IGHJ6*03,16
10,IGHJ6*01,1
2,IGHJ4*01,5
15,IGHJ6*03,5
5,IGHJ3*02,158
20,IGHJ6*03,11
0,IGHJ4*03,8
0,IGHJ3*01,156
7,IGHJ3*01,11
14,IGHJ6*03,8
1,IGHJ6*03,4
2,IGHJ6*04,1
2,IGHJ4*02,467
20,IGHJ4*02,2
16,IGHJ6*03,6
1,IGHJ4*01,3
25,IGHJ6*03,1
36,IGHJ6*03,1
9,IGHJ3*02,30
4,IGHJ4*03,1
14,IGHJ4*03,1
2,IGHJ3*01,221
17,IGHJ3*02,2
23,IGHJ6*01,1
5,IGHJ5*01,1
3,IGHJ6*02,128
8,IGHJ6*02,18
2,IGHJ6*01,2
16,IGHJ5*02,9
23,IGHJ6*03,1
21,IGHJ4*02,1
3,IGHJ3*02,54
11,IGHJ6*04,1
16,IGHJ6*04,2
6,IGHJ3*02,24
5,IGHJ4*01,11
6,IGHJ4*01,4
9,IGHJ6*02,56
9,IGHJ5*02,7
22,IGHJ3*01,4
13,IGHJ3*01,3
14,IGHJ1*01,1
15,IGHJ4*02,12
4,IGHJ5*02,238
32,IGHJ5*02,1
18,IGHJ6*03,1
4,IGHJ6*02,17
19,IGHJ6*02,1
0,IGHJ6*01,18
19,IGHJ5*02,2
11,IGHJ4*02,32
7,IGHJ5*02,24
16,IGHJ4*02,8
6,IGHJ4*02,207
10,IGHJ3*02,20
8,IGHJ4*02,530
6,IGHJ5*02,12
9,IGHJ6*01,1
6,IGHJ6*02,13
5,IGHJ6*02,51
18,IGHJ3*02,6
10,IGHJ6*02,2
13,IGHJ3*02,16
18,IGHJ1*01,1
12,IGHJ6*03,11
0,IGHJ5*02,564
4,IGHJ3*02,96
0,IGHJ6*02,1626
15,IGHJ6*02,2
20,IGHJ6*02,1
2,IGHJ2*01,37
17,IGHJ6*02,40
9,IGHJ4*02,56
7,IGHJ3*02,43
6,IGHJ5*01,2
9,IGHJ6*04,9
1,IGHJ6*02,126
26,IGHJ5*02,1
30,IGHJ5*02,1
2,IGHJ4*03,5
9,IGHJ3*01,9
4,IGHJ3*01,6
8,IGHJ3*02,49
9,IGHJ4*03,1
0,IGHJ1*01,261
0,IGHJ4*01,94
16,IGHJ3*02,18
1,IGHJ2*01,20
11,IGHJ3*02,62
20,IGHJ3*02,4
2,IGHJ5*02,105
8,IGHJ6*03,16
2,IGHJ6*02,119
38,IGHJ5*02,1
29,IGHJ6*03,1
0,IGHJ2*01,509
19,IGHJ4*01,1
7,IGHJ1*01,4
11,IGHJ6*03,4
1,IGHJ1*01,3
7,IGHJ4*03,3
8,IGHJ3*01,50
15,IGHJ3*01,2
6,IGHJ3*01,12
21,IGHJ5*02,2
12,IGHJ5*02,73
4,IGHJ1*01,2
16,IGHJ3*01,2
4,IGHJ4*01,7
5,IGHJ2*01,1
3,IGHJ4*02,470
3,IGHJ5*02,59
1,IGHJ6*04,1
8,IGHJ6*04,9
4,IGHJ6*03,24
12,IGHJ4*02,32
22,IGHJ4*02,1
24,IGHJ6*03,1
31,IGHJ1*01,1
