j_5p_del,j_gene,count
49,IGHJ6*04,1
11,IGHJ1*01,7
7,IGHJ6*03,6
5,IGHJ1*01,6
5,IGHJ4*03,2
6,IGHJ4*03,2
10,IGHJ3*01,8
1,IGHJ3*01,302
8,IGHJ1*01,1
6,IGHJ6*03,18
10,IGHJ6*03,63
9,IGHJ2*01,3
44,IGHJ3*01,1
19,IGHJ6*02,6
13,IGHJ4*02,1326
13,IGHJ6*03,22
18,IGHJ4*02,8
0,IGHJ5*01,1
0,IGHJ6*03,27
8,IGHJ6*01,1
10,IGHJ4*02,65
20,IGHJ6*03,10
36,IGHJ6*04,1
8,IGHJ2*01,2
3,IGHJ2*01,7
1,IGHJ3*02,141
5,IGHJ5*02,42
12,IGHJ3*01,16
24,IGHJ6*02,12
8,IGHJ4*03,1
22,IGHJ6*03,2
26,IGHJ6*03,4
32,IGHJ6*04,1
15,IGHJ5*02,89
16,IGHJ6*01,4
24,IGHJ5*02,1
9,IGHJ5*01,1
17,IGHJ5*02,14
0,IGHJ4*02,1043
14,IGHJ5*02,7
13,IGHJ4*01,4
14,IGHJ6*02,124
14,IGHJ4*01,1
18,IGHJ5*02,16
1,IGHJ5*02,123
1,IGHJ2*01,41
11,IGHJ6*01,1
2,IGHJ6*03,144
27,IGHJ5*02,1
8,IGHJ5*02,113
35,IGHJ6*04,4
2,IGHJ1*01,26
3,IGHJ4*01,1
16,IGHJ5*02,5
7,IGHJ4*02,367
16,IGHJ6*02,13
1,IGHJ4*02,331
19,IGHJ4*02,1
32,IGHJ6*01,1
4,IGHJ4*02,94
14,IGHJ4*02,28
2,IGHJ3*02,1
29,IGHJ1*01,1
3,IGHJ6*03,31
26,IGHJ1*01,3
3,IGHJ3*01,12
12,IGHJ1*01,1
7,IGHJ4*01,3
7,IGHJ6*02,83
12,IGHJ6*02,45
5,IGHJ4*02,532
9,IGHJ6*03,30
28,IGHJ6*01,2
5,IGHJ6*04,68
22,IGHJ3*02,1
10,IGHJ5*02,18
12,IGHJ3*02,9
7,IGHJ2*01,201
13,IGHJ6*02,79
23,IGHJ3*02,1
13,IGHJ5*02,54
19,IGHJ6*03,8
18,IGHJ6*02,2
6,IGHJ1*01,7
10,IGHJ4*03,1
25,IGHJ6*02,1
5,IGHJ3*01,4
10,IGHJ1*01,27
16,IGHJ4*01,1
0,IGHJ3*02,246
11,IGHJ5*02,14
1,IGHJ4*03,1
23,IGHJ6*02,1
5,IGHJ6*03,54
10,IGHJ6*01,2
31,IGHJ6*03,1
22,IGHJ5*02,2
8,IGHJ4*01,11
16,IGHJ2*01,13
13,IGHJ6*01,4
2,IGHJ4*01,43
15,IGHJ6*03,237
5,IGHJ3*02,34
17,IGHJ6*03,47
0,IGHJ4*03,13
30,IGHJ1*01,4
7,IGHJ3*01,28
14,IGHJ6*03,17
17,IGHJ3*01,6
45,IGHJ5*01,1
1,IGHJ6*03,39
22,IGHJ6*01,1
21,IGHJ6*03,11
23,IGHJ4*02,1
61,IGHJ6*02,2
26,IGHJ5*01,1
2,IGHJ4*02,495
11,IGHJ6*02,94
16,IGHJ6*03,55
1,IGHJ4*01,26
19,IGHJ1*01,1
9,IGHJ3*02,108
11,IGHJ4*03,1
11,IGHJ3*01,6
2,IGHJ3*01,6
17,IGHJ3*02,2
29,IGHJ6*04,1
3,IGHJ6*02,16
8,IGHJ6*02,487
15,IGHJ6*02,64
16,IGHJ4*03,3
21,IGHJ4*02,2
3,IGHJ3*02,641
25,IGHJ5*02,13
7,IGHJ6*01,1
12,IGHJ6*03,248
5,IGHJ4*01,21
6,IGHJ4*01,43
9,IGHJ6*02,154
9,IGHJ5*02,31
19,IGHJ6*01,2
11,IGHJ5*01,3
13,IGHJ3*01,9
15,IGHJ4*02,15
4,IGHJ5*02,11
18,IGHJ6*03,37
4,IGHJ6*02,153
12,IGHJ4*01,14
19,IGHJ5*02,7
11,IGHJ4*02,100
7,IGHJ5*02,37
16,IGHJ4*02,56
6,IGHJ4*02,299
10,IGHJ3*02,3
8,IGHJ4*02,1105
6,IGHJ5*02,363
6,IGHJ6*02,208
5,IGHJ6*02,30
18,IGHJ3*02,4
10,IGHJ6*02,49
13,IGHJ3*02,45
31,IGHJ6*02,2
3,IGHJ4*02,948
13,IGHJ4*03,2
6,IGHJ3*02,136
0,IGHJ5*02,88
4,IGHJ3*02,233
0,IGHJ6*02,222
17,IGHJ4*02,247
20,IGHJ6*02,10
2,IGHJ2*01,37
17,IGHJ6*02,36
9,IGHJ4*02,21
7,IGHJ3*02,80
9,IGHJ6*04,95
30,IGHJ6*04,1
1,IGHJ6*02,376
22,IGHJ6*02,6
21,IGHJ6*02,8
26,IGHJ6*02,7
2,IGHJ4*03,1
9,IGHJ3*01,4
4,IGHJ3*01,24
20,IGHJ1*01,1
8,IGHJ3*02,49
0,IGHJ3*01,2
27,IGHJ2*01,1
30,IGHJ6*02,1
16,IGHJ3*02,23
13,IGHJ2*01,151
11,IGHJ3*02,14
1,IGHJ5*01,4
58,IGHJ6*02,1
3,IGHJ5*01,1
3,IGHJ6*01,2
2,IGHJ5*02,287
21,IGHJ6*01,4
8,IGHJ6*03,518
2,IGHJ6*02,41
3,IGHJ4*03,1
15,IGHJ2*01,67
0,IGHJ2*01,35
7,IGHJ6*04,1
11,IGHJ6*03,51
1,IGHJ1*01,256
25,IGHJ6*03,1
8,IGHJ3*01,4
6,IGHJ3*01,114
48,IGHJ1*01,1
17,IGHJ6*04,22
25,IGHJ3*01,2
16,IGHJ3*01,1
5,IGHJ2*01,19
29,IGHJ6*02,5
14,IGHJ3*02,7
3,IGHJ5*02,11
31,IGHJ1*01,1
18,IGHJ6*04,5
4,IGHJ6*03,32
12,IGHJ4*02,1
22,IGHJ4*02,2
24,IGHJ6*03,5
4,IGHJ2*01,19
