v_3p_del,v_gene,count
5,IGHV5-51*01,1
4,IGHV3-30*03,2
0,IGHV3-23*04,199
7,IGHV3-66*03,2
0,IGHV4-31*03,69
6,IGHV4-61*02,3
7,IGHV3-30*03,3
5,IGHV3-48*03,2
1,IGHV1-8*01,1
2,IGHV3-66*03,16
7,IGHV1-24*01,1
0,IGHV3-73*01,5
0,IGHV3-20*01,5
4,IGHV4-61*02,2
2,IGHV3-48*03,38
1,IGHV3-49*04,240
4,IGHV1-24*01,1
1,IGHV3-43*02,32
1,IGHV4-61*02,209
7,IGHV3-43*02,1
6,IGHV3-72*01,1
7,IGHV3-23*04,1
0,IGHV3-48*01,40
11,IGHV4-59*08,1
4,IGHV3-48*01,1
3,IGHV4-4*07,2
6,IGHV3-66*01,1
1,IGHV3-20*01,50
1,IGHV3-21*01,19
8,IGHV4-59*08,1
0,IGHV1-69*04,121
5,IGHV4-34*01,2
7,IGHV3-64*04,1
1,IGHV3-66*01,66
2,IGHV1-69*04+G278T,16
8,IGHV3-7*03,1
1,IGHV4-34*01,278
7,IGHV3-21*01,3
0,IGHV3-21*01,237
3,IGHV3-49*04,100
8,IGHV3-72*01,1
0,IGHV1-18*04+G278A,52
7,IGHV4-39*01+G281C,1
2,IGHV3-43*02,150
0,IGHV3-23*03,1
0,IGHV1-69-2*01,5
0,IGHV1-8*01,2
0,IGHV3-11*05,21
7,IGHV3-15*01,5
0,IGHV4-34*09,35
3,IGHV1-18*04+G278A,3
6,IGHV4-39*01+G281C,1
1,IGHV5-51*01,67
2,IGHV4-4*02,1
4,IGHV3-23*04,21
2,IGHV3-30*03,245
1,IGHV5-10-1*01,5
0,IGHV4-4*07,25
3,IGHV6-1*01,2
1,IGHV3-15*01,61
5,IGHV3-30*03,1
2,IGHV1-18*04,2
3,IGHV1-24*01,20
1,IGHV4-31*03,445
3,IGHV3-NL1*01,1
1,IGHV6-1*01,11
2,IGHV4-59*10,29
0,IGHV1-24*01,7
8,IGHV3-66*01,1
0,IGHV3-11*01,3
2,IGHV3-11*05,6
0,IGHV3-49*04,11
7,IGHV4-4*07,1
1,IGHV4-39*01+G281C,21
8,IGHV4-34*01,222
0,IGHV6-1*01,5
2,IGHV5-51*01,3
4,IGHV4-30-2*05,4
0,IGHV3-30*03,1027
6,IGHV3-66*03,1
0,IGHV4-59*10,1
2,IGHV3-21*01,3
1,IGHV1-3*01,4
5,IGHV4-61*02,14
13,IGHV3-15*01,2
6,IGHV1-46*01,6
8,IGHV3-30*03,2
3,IGHV3-30*03,35
1,IGHV3-23*04,59
1,IGHV4-59*08,301
0,IGHV4-39*01+G281C,115
3,IGHV3-21*01,2
14,IGHV4-59*08,3
10,IGHV3-15*01,1
2,IGHV1-24*01,48
3,IGHV3-74*01,1
3,IGHV3-43*02,15
1,IGHV3-NL1*01,1
0,IGHV3-66*01,80
2,IGHV3-49*04,10
2,IGHV4-34*01,27
0,IGHV4-39*01,464
20,IGHV6-1*01,1
3,IGHV1-69*04+G278T,1
2,IGHV3-7*03,177
2,IGHV3-72*01,1
1,IGHV1-18*04,72
4,IGHV4-4*07,3
6,IGHV1-69*04,8
5,IGHV1-69*04,23
1,IGHV1-46*01,89
3,IGHV1-46*01,3
8,IGHV4-59*10,1
1,IGHV4-4*02,13
25,IGHV3-66*03,1
5,IGHV3-48*01,1
2,IGHV3-66*01,31
3,IGHV3-66*01,1
4,IGHV3-43*02,3
8,IGHV4-4*07,1
4,IGHV3-49*04,3
3,IGHV3-48*03,4
1,IGHV1-18*04+G278A,135
0,IGHV3-48*03,65
9,IGHV1-2*02,2
7,IGHV1-69*04,4
4,IGHV4-39*01,3
2,IGHV1-46*01,3
4,IGHV1-46*01,3
5,IGHV3-23*04,1
1,IGHV3-30*03,428
7,IGHV4-61*01,1
1,IGHV4-4*07,24
0,IGHV1-3*01,11
5,IGHV4-30-2*05,1
3,IGHV3-7*03,5
2,IGHV3-15*01,9
4,IGHV4-61*01,30
8,IGHV3-74*01,1
5,IGHV4-39*01,3
0,IGHV3-43*02,40
2,IGHV4-61*02,15
4,IGHV1-18*04+G278A,2
6,IGHV3-49*04,8
4,IGHV3-64*04,1
4,IGHV3-66*01,1
19,IGHV3-48*03,1
2,IGHV4-31*03,33
7,IGHV4-59*08,9
3,IGHV3-72*01,1
5,IGHV3-7*03,1
5,IGHV4-59*08,1
5,IGHV1-2*02,21
6,IGHV4-31*03,4
4,IGHV4-59*08,39
4,IGHV4-34*01,7
2,IGHV4-30-2*05,8
0,IGHV1-46*01,44
2,IGHV1-2*02,303
5,IGHV3-15*01,13
0,IGHV1-18*04,587
9,IGHV4-59*08,1
2,IGHV1-3*01,2
2,IGHV3-74*01,10
3,IGHV5-51*01,2
2,IGHV3-23*04,165
0,IGHV3-72*01,2
8,IGHV3-73*01,3
0,IGHV4-61*02,116
1,IGHV3-23*03,1
8,IGHV4-39*01,3
2,IGHV3-73*01,2
7,IGHV3-66*01,1
3,IGHV4-34*01,19
11,IGHV1-2*02,1
4,IGHV4-31*03,4
1,IGHV4-30-2*05,88
3,IGHV1-18*04,9
1,IGHV3-11*05,26
1,IGHV1-69*04,144
3,IGHV4-61*01,29
1,IGHV3-11*01,7
7,IGHV4-59*10,1
4,IGHV5-10-1*01,2
1,IGHV1-69*04+G278T,3
0,IGHV3-NL1*01,185
1,IGHV4-34*09,49
4,IGHV5-51*01,9
4,IGHV3-72*01,29
0,IGHV4-61*01,50
3,IGHV1-69-2*01,1
1,IGHV1-69-2*01,6
2,IGHV4-4*07,8
3,IGHV4-39*01,4
3,IGHV4-59*08,56
2,IGHV4-39*01+G281C,5
8,IGHV6-1*01,6
0,IGHV4-4*02,3
6,IGHV3-7*03,9
1,IGHV1-2*02,746
7,IGHV1-2*02,7
0,IGHV4-59*08,1313
1,IGHV3-66*03,4
8,IGHV3-15*01,2
3,IGHV1-69*04,39
2,IGHV1-69*04,8
3,IGHV3-11*05,2
1,IGHV3-48*03,36
4,IGHV1-2*02,360
0,IGHV5-10-1*01,307
7,IGHV4-31*03,3
3,IGHV4-39*01+G281C,3
5,IGHV1-46*01,3
0,IGHV3-7*03,64
7,IGHV3-7*03,5
1,IGHV4-39*01,34
4,IGHV1-69-2*01,2
3,IGHV3-73*01,8
