d_3p_del,d_gene,count
13,IGHD3-9*01,1
0,IGHD2-8*02,17
5,IGHD3-3*01,23
18,IGHD3-9*01,6
26,IGHD3-16*01,7
7,IGHD5/OR15-5a*01,7
15,IGHD2-8*01,56
16,IGHD3-3*01,1
1,IGHD3-16*01,3
21,IGHD3-10*01,17
22,IGHD3-3*01,248
4,IGHD6-13*01,22
6,IGHD2-21*02,23
32,IGHD3-16*02,7
14,IGHD3-3*02,5
0,IGHD2-21*01,1
6,IGHD4-23*01,7
8,IGHD5-18*01,1
9,IGHD2/OR15-2a*01,5
23,IGHD3-10*02,12
17,IGHD2-21*02,1
9,IGHD5/OR15-5a*01,2
1,IGHD6-13*01,82
1,IGHD3-3*01,30
3,IGHD1-26*01,85
19,IGHD2-8*02,2
4,IGHD2-8*02,2
11,IGHD2-15*01,24
3,IGHD2-8*01,9
18,IGHD2-8*01,2
15,IGHD4-23*01,6
4,IGHD5-18*01,107
7,IGHD1-1*01,58
17,IGHD2-8*02,10
14,IGHD3-10*01,1
3,IGHD4-17*01,8
1,IGHD1-1*01,15
6,IGHD2/OR15-2a*01,1
13,IGHD1-1*01,4
4,IGHD5-24*01,135
12,IGHD2/OR15-2a*01,9
0,IGHD2/OR15-2a*01,24
3,IGHD3-22*01,48
9,IGHD4-23*01,2
8,IGHD2-21*01,1
29,IGHD3-16*02,6
1,IGHD6-19*01,101
2,IGHD6-25*01,3
16,IGHD3-10*02,39
17,IGHD3-3*02,1
5,IGHD6-19*01,31
2,IGHD6-6*01,51
5,IGHD3-9*01,10
10,IGHD3-9*01,253
4,IGHD3-10*01,348
33,IGHD3-16*02,15
9,IGHD2-2*02,1
24,IGHD3-10*01,6
0,IGHD3-3*02,5
7,IGHD3-3*02,3
14,IGHD2-2*02,1
24,IGHD3/OR15-3a*01,15
2,IGHD6-19*01,41
14,IGHD2-2*03,5
3,IGHD1-7*01,3
17,IGHD3-16*01,6
20,IGHD3-16*02,1
7,IGHD1-26*01,1
12,IGHD2-2*01,1
1,IGHD5-12*01,339
17,IGHD2-2*01,1
17,IGHD2/OR15-2a*01,3
0,IGHD3-22*01,68
3,IGHD3/OR15-3a*01,10
21,IGHD2-2*03,1
11,IGHD5/OR15-5a*01,5
0,IGHD2-2*02,36
7,IGHD3-22*01,122
15,IGHD5/OR15-5a*01,1
20,IGHD3-16*01,4
24,IGHD3-3*02,7
4,IGHD3-22*01,105
10,IGHD2-15*01,33
10,IGHD2/OR15-2a*01,3
14,IGHD2/OR15-2a*01,21
16,IGHD3-9*01,56
6,IGHD3-16*02,20
6,IGHD2-8*02,11
3,IGHD3-16*02,214
10,IGHD3-10*02,3
