d_gene,count
IGHD5/OR15-5a*01,96
IGHD2-8*02,161
IGHD3-10*01,1434
IGHD1-20*01,263
IGHD6-13*01,560
IGHD1-7*01,177
IGHD5-18*01,373
IGHD1-26*01,1136
IGHD4-17*01,434
IGHD3-22*01,895
IGHD2-2*02,246
IGHD3-3*01,756
IGHD2-21*02,287
IGHD2-15*01,600
IGHD6-25*01,9
IGHD6-19*01,725
IGHD1/OR15-1a*01,10
IGHD4/OR15-4a*01,42
IGHD6-6*01,210
IGHD3-16*01,452
IGHD3-9*01,590
IGHD2-8*01,1449
IGHD5-24*01,322
IGHD3/OR15-3a*01,425
IGHD3-10*02,780
IGHD7-27*01,12
IGHD1-14*01,70
IGHD1-1*01,999
IGHD5-12*01,556
IGHD2-2*01,505
IGHD2-2*03,433
IGHD4-11*01,132
IGHD2-21*01,408
IGHD4-23*01,442
IGHD3-3*02,226
IGHD2/OR15-2a*01,503
IGHD3-16*02,1080
