vd_insertion,d_gene,count
13,IGHD3-9*01,4
0,IGHD2-8*02,10
5,IGHD3-3*01,19
18,IGHD3-9*01,3
26,IGHD3-16*01,13
27,IGHD3-16*01,8
15,IGHD2-8*01,10
16,IGHD3-3*01,1
18,IGHD3-22*01,2
1,IGHD3-16*01,17
21,IGHD3-10*01,1
12,IGHD3-10*01,5
22,IGHD3-3*01,14
20,IGHD6-19*01,12
7,IGHD5/OR15-5a*01,6
35,IGHD3-16*02,1
4,IGHD6-13*01,49
22,IGHD2-2*03,6
30,IGHD1-20*01,1
6,IGHD2-21*02,5
32,IGHD3-16*02,7
20,IGHD2-2*01,15
37,IGHD3-10*02,1
10,IGHD2-2*03,2
6,IGHD4-23*01,221
8,IGHD5-18*01,4
9,IGHD2/OR15-2a*01,2
23,IGHD3-10*02,22
17,IGHD2-21*02,2
9,IGHD5/OR15-5a*01,5
1,IGHD6-13*01,18
25,IGHD2-15*01,4
23,IGHD6-19*01,1
3,IGHD1-26*01,53
19,IGHD2-8*02,12
18,IGHD2-21*02,19
8,IGHD1-26*01,24
11,IGHD2-15*01,10
8,IGHD2-2*02,11
18,IGHD2-8*01,6
28,IGHD3-10*01,1
33,IGHD3-10*02,60
4,IGHD5-18*01,98
7,IGHD1-1*01,6
17,IGHD2-8*02,3
17,IGHD3-3*01,2
3,IGHD1-20*01,7
14,IGHD3-10*01,20
31,IGHD3-10*02,4
3,IGHD4-17*01,15
38,IGHD3-16*02,1
26,IGHD6-19*01,2
1,IGHD1-1*01,2
39,IGHD2/OR15-2a*01,1
8,IGHD6-13*01,58
6,IGHD2/OR15-2a*01,127
4,IGHD5-24*01,9
18,IGHD5-18*01,8
4,IGHD1-7*01,14
3,IGHD3-22*01,56
9,IGHD4-23*01,2
29,IGHD3-16*02,19
44,IGHD3-16*02,1
20,IGHD5-12*01,1
30,IGHD2-2*01,10
16,IGHD3-10*02,6
28,IGHD2-2*03,1
5,IGHD6-19*01,4
23,IGHD3-3*02,1
20,IGHD2-8*01,16
5,IGHD3-9*01,244
10,IGHD3-9*01,32
25,IGHD3-9*01,1
11,IGHD4-23*01,2
35,IGHD1-20*01,1
33,IGHD3-16*02,3
24,IGHD3-10*01,7
0,IGHD3-3*02,15
7,IGHD3-3*02,2
3,IGHD4-23*01,9
24,IGHD3/OR15-3a*01,6
27,IGHD3-10*02,18
2,IGHD6-19*01,12
9,IGHD1-14*01,1
17,IGHD3-16*01,5
20,IGHD3-16*02,6
7,IGHD1-26*01,7
12,IGHD2-2*01,70
1,IGHD5-12*01,326
17,IGHD2-2*01,1
34,IGHD3-10*02,4
27,IGHD2-15*01,5
44,IGHD3-3*01,1
17,IGHD2/OR15-2a*01,10
7,IGHD3-10*01,56
21,IGHD2/OR15-2a*01,3
17,IGHD6-19*01,4
3,IGHD5-18*01,3
3,IGHD3/OR15-3a*01,4
7,IGHD2-2*02,7
21,IGHD2-2*03,2
9,IGHD4-11*01,3
14,IGHD5-12*01,2
4,IGHD6-25*01,1
19,IGHD2-2*01,22
11,IGHD5/OR15-5a*01,5
0,IGHD2-2*02,27
24,IGHD2-2*01,1
0,IGHD3-10*01,188
23,IGHD2-15*01,1
20,IGHD3-16*01,3
17,IGHD5-18*01,7
25,IGHD2-21*02,2
15,IGHD1-1*01,15
4,IGHD3-22*01,110
10,IGHD2-15*01,10
10,IGHD4-23*01,1
10,IGHD2/OR15-2a*01,3
7,IGHD3-16*02,91
11,IGHD3-9*01,17
10,IGHD6-19*01,11
23,IGHD3/OR15-3a*01,6
16,IGHD4-17*01,1
14,IGHD2/OR15-2a*01,2
6,IGHD3-16*02,84
29,IGHD1-1*01,1
43,IGHD2/OR15-2a*01,3
5,IGHD4-11*01,1
21,IGHD1-1*01,773
14,IGHD2-21*02,15
10,IGHD3-10*02,1
9,IGHD2-8*01,3
24,IGHD3-16*01,3
13,IGHD5-18*01,10
18,IGHD3-3*01,5
24,IGHD3-10*02,4
3,IGHD2-21*01,23
8,IGHD3-22*01,32
4,IGHD3/OR15-3a*01,9
12,IGHD4-23*01,6
44,IGHD3-10*01,1
34,IGHD3-16*02,6
6,IGHD1-26*01,12
35,IGHD3-3*01,4
22,IGHD2-2*01,2
40,IGHD3/OR15-3a*01,1
0,IGHD2-21*01,1
8,IGHD2-8*02,7
21,IGHD4-17*01,4
22,IGHD4-17*01,5
20,IGHD2-2*03,11
3,IGHD2/OR15-2a*01,5
30,IGHD3/OR15-3a*01,3
8,IGHD5-24*01,76
15,IGHD3-3*01,30
1,IGHD2-21*02,31
6,IGHD3-3*01,17
8,IGHD3/OR15-3a*01,2
22,IGHD2-8*01,9
44,IGHD5/OR15-5a*01,1
