dj_insertion,j_gene,count
11,IGHJ1*01,4
7,IGHJ6*03,11
5,IGHJ1*01,3
5,IGHJ4*03,2
6,IGHJ4*03,1
10,IGHJ3*01,9
1,IGHJ3*01,7
8,IGHJ1*01,52
12,IGHJ3*02,29
10,IGHJ6*03,3
9,IGHJ2*01,5
50,IGHJ5*02,1
13,IGHJ4*02,103
13,IGHJ6*03,1
18,IGHJ4*02,3
0,IGHJ5*01,78
0,IGHJ6*03,1358
10,IGHJ4*02,48
14,IGHJ3*02,19
12,IGHJ4*01,1
8,IGHJ2*01,16
3,IGHJ2*01,6
9,IGHJ1*01,26
1,IGHJ3*02,69
5,IGHJ5*02,50
21,IGHJ3*01,1
12,IGHJ3*01,4
15,IGHJ5*02,3
0,IGHJ6*04,109
7,IGHJ6*04,1
17,IGHJ5*02,2
0,IGHJ4*02,4934
14,IGHJ5*02,22
14,IGHJ6*02,9
18,IGHJ5*02,1
21,IGHJ3*02,4
1,IGHJ5*02,60
16,IGHJ5*01,1
56,IGHJ5*02,2
2,IGHJ6*03,11
8,IGHJ5*02,10
2,IGHJ1*01,11
3,IGHJ4*01,2
11,IGHJ6*02,14
7,IGHJ4*02,548
11,IGHJ5*02,14
1,IGHJ4*02,203
15,IGHJ3*02,21
19,IGHJ4*02,6
36,IGHJ6*02,1
4,IGHJ4*02,328
14,IGHJ4*02,190
2,IGHJ3*02,538
3,IGHJ6*03,212
12,IGHJ4*03,1
3,IGHJ3*01,22
23,IGHJ6*02,1
7,IGHJ4*01,7
7,IGHJ6*02,146
12,IGHJ6*02,5
5,IGHJ4*02,143
19,IGHJ3*02,6
9,IGHJ6*03,28
5,IGHJ6*04,2
10,IGHJ6*04,3
10,IGHJ5*02,14
12,IGHJ2*01,2
7,IGHJ2*01,1
13,IGHJ6*02,2
13,IGHJ1*01,4
13,IGHJ5*02,24
14,IGHJ4*03,2
6,IGHJ1*01,2
10,IGHJ4*03,2
14,IGHJ3*01,2
5,IGHJ3*01,15
10,IGHJ1*01,15
0,IGHJ3*02,793
16,IGHJ6*02,1
8,IGHJ4*01,21
16,IGHJ1*01,1
23,IGHJ5*02,1
5,IGHJ6*03,13
10,IGHJ6*01,1
9,IGHJ4*01,1
28,IGHJ5*02,1
11,IGHJ2*01,1
2,IGHJ4*01,4
5,IGHJ3*02,85
20,IGHJ6*03,7
0,IGHJ4*03,20
0,IGHJ3*01,252
7,IGHJ3*01,16
20,IGHJ3*02,6
17,IGHJ3*01,14
78,IGHJ6*01,1
1,IGHJ6*03,9
2,IGHJ6*04,2
8,IGHJ5*01,6
2,IGHJ4*02,240
20,IGHJ4*02,2
16,IGHJ6*03,4
1,IGHJ4*01,2
9,IGHJ3*02,17
11,IGHJ3*01,4
2,IGHJ3*01,181
75,IGHJ4*02,1
17,IGHJ3*02,8
5,IGHJ5*01,3
3,IGHJ6*02,102
8,IGHJ6*02,20
2,IGHJ6*01,1
16,IGHJ5*02,4
21,IGHJ4*02,1
3,IGHJ3*02,34
7,IGHJ5*01,1
7,IGHJ6*01,1
6,IGHJ3*02,18
5,IGHJ4*01,11
6,IGHJ4*01,5
20,IGHJ6*02,2
9,IGHJ6*02,120
9,IGHJ5*02,12
18,IGHJ6*02,2
22,IGHJ3*01,2
13,IGHJ3*01,3
35,IGHJ5*02,1
16,IGHJ3*01,2
53,IGHJ4*02,1
17,IGHJ6*02,39
24,IGHJ1*01,1
43,IGHJ5*02,4
4,IGHJ5*02,244
4,IGHJ6*02,34
19,IGHJ6*02,2
11,IGHJ6*04,1
0,IGHJ6*01,23
19,IGHJ5*02,4
11,IGHJ4*02,21
7,IGHJ5*02,57
16,IGHJ4*02,3
12,IGHJ6*04,6
6,IGHJ4*02,233
10,IGHJ3*02,21
8,IGHJ4*02,245
6,IGHJ5*02,21
9,IGHJ6*01,1
6,IGHJ6*02,16
5,IGHJ6*02,54
18,IGHJ3*02,3
10,IGHJ6*02,18
13,IGHJ3*02,10
18,IGHJ1*01,1
12,IGHJ6*03,4
0,IGHJ5*02,773
4,IGHJ3*02,23
0,IGHJ6*02,1877
17,IGHJ4*02,6
6,IGHJ6*03,26
11,IGHJ4*01,2
2,IGHJ2*01,15
15,IGHJ4*02,8
9,IGHJ4*02,34
7,IGHJ3*02,26
37,IGHJ6*02,2
37,IGHJ5*02,3
9,IGHJ6*04,26
5,IGHJ6*01,2
1,IGHJ6*02,80
21,IGHJ5*02,2
66,IGHJ6*03,1
2,IGHJ4*03,5
9,IGHJ3*01,12
4,IGHJ3*01,3
8,IGHJ3*02,39
17,IGHJ5*01,1
0,IGHJ1*01,338
0,IGHJ4*01,94
16,IGHJ3*02,4
1,IGHJ2*01,2
4,IGHJ6*04,2
11,IGHJ3*02,110
4,IGHJ5*01,5
25,IGHJ4*02,1
6,IGHJ6*04,1
14,IGHJ6*03,4
3,IGHJ5*01,1
3,IGHJ6*01,2
2,IGHJ5*02,67
8,IGHJ6*03,13
2,IGHJ6*02,18
3,IGHJ4*03,2
0,IGHJ2*01,536
21,IGHJ1*01,1
11,IGHJ5*01,1
7,IGHJ1*01,3
11,IGHJ6*03,4
1,IGHJ1*01,1
7,IGHJ4*03,3
8,IGHJ3*01,19
15,IGHJ3*01,5
6,IGHJ3*01,7
12,IGHJ5*02,89
4,IGHJ1*01,2
14,IGHJ1*01,1
4,IGHJ4*01,10
5,IGHJ2*01,11
3,IGHJ4*02,465
11,IGHJ4*03,1
3,IGHJ5*02,28
3,IGHJ6*04,1
2,IGHJ5*01,3
8,IGHJ6*04,91
18,IGHJ4*01,1
4,IGHJ6*03,40
12,IGHJ4*02,71
63,IGHJ6*03,4
4,IGHJ2*01,27
