j_5p_del,j_gene,count
11,IGHJ1*01,19
7,IGHJ6*03,56
5,IGHJ1*01,31
5,IGHJ4*03,5
6,IGHJ4*03,2
10,IGHJ3*01,28
1,IGHJ3*01,203
8,IGHJ1*01,13
6,IGHJ6*03,73
18,IGHJ3*01,1
10,IGHJ6*03,132
29,IGHJ6*01,2
20,IGHJ5*01,12
13,IGHJ4*02,854
13,IGHJ6*03,51
18,IGHJ4*02,168
13,IGHJ5*01,3
16,IGHJ5*02,14
0,IGHJ6*03,26
23,IGHJ4*02,151
10,IGHJ4*02,92
20,IGHJ6*03,27
12,IGHJ4*01,15
8,IGHJ2*01,6
27,IGHJ6*03,1
8,IGHJ5*01,3
3,IGHJ2*01,19
9,IGHJ1*01,1
1,IGHJ3*02,198
5,IGHJ5*02,68
24,IGHJ3*01,1
12,IGHJ3*01,17
24,IGHJ6*02,20
8,IGHJ4*03,1
26,IGHJ6*03,14
15,IGHJ5*02,36
20,IGHJ6*01,1
11,IGHJ5*01,4
9,IGHJ5*01,4
17,IGHJ5*02,3
0,IGHJ4*02,926
14,IGHJ5*02,9
14,IGHJ6*02,60
12,IGHJ3*02,17
22,IGHJ5*01,1
18,IGHJ5*02,9
21,IGHJ3*02,2
1,IGHJ5*02,193
27,IGHJ5*02,13
19,IGHJ4*03,2
8,IGHJ5*02,127
18,IGHJ6*02,9
3,IGHJ4*01,5
11,IGHJ6*02,54
7,IGHJ4*02,684
16,IGHJ6*02,28
1,IGHJ4*02,469
15,IGHJ3*02,5
19,IGHJ4*02,98
36,IGHJ6*02,1
2,IGHJ6*03,88
23,IGHJ6*04,2
14,IGHJ5*01,7
4,IGHJ4*02,224
14,IGHJ4*02,28
2,IGHJ3*02,45
24,IGHJ4*02,1
3,IGHJ6*03,33
27,IGHJ6*04,6
32,IGHJ1*01,4
12,IGHJ4*03,2
4,IGHJ6*04,3
3,IGHJ3*01,26
12,IGHJ1*01,6
2,IGHJ1*01,5
25,IGHJ5*01,10
25,IGHJ6*02,16
7,IGHJ4*01,18
7,IGHJ6*02,147
12,IGHJ6*02,43
5,IGHJ4*02,367
19,IGHJ3*02,6
9,IGHJ6*03,84
5,IGHJ6*04,66
29,IGHJ5*02,1
10,IGHJ6*04,1
20,IGHJ5*02,1
10,IGHJ5*02,37
12,IGHJ2*01,1
12,IGHJ5*01,2
7,IGHJ2*01,162
13,IGHJ6*02,42
13,IGHJ2*01,9
13,IGHJ1*01,2
13,IGHJ5*02,25
19,IGHJ6*03,10
17,IGHJ2*01,1
14,IGHJ3*01,12
5,IGHJ3*01,11
10,IGHJ1*01,80
25,IGHJ6*04,2
0,IGHJ3*02,196
11,IGHJ5*02,29
37,IGHJ6*04,1
19,IGHJ6*04,3
1,IGHJ4*03,2
2,IGHJ6*02,99
8,IGHJ4*01,17
16,IGHJ1*01,1
28,IGHJ6*02,1
6,IGHJ6*01,2
5,IGHJ6*03,20
10,IGHJ5*01,5
21,IGHJ6*04,6
9,IGHJ4*01,2
15,IGHJ6*01,1
23,IGHJ6*02,5
16,IGHJ2*01,17
11,IGHJ2*01,1
2,IGHJ4*01,19
23,IGHJ5*02,2
16,IGHJ6*04,3
15,IGHJ6*03,196
34,IGHJ6*02,5
5,IGHJ4*01,24
5,IGHJ3*02,74
14,IGHJ3*02,29
9,IGHJ3*01,22
0,IGHJ3*01,22
7,IGHJ3*01,17
14,IGHJ6*03,12
36,IGHJ6*04,3
17,IGHJ3*01,7
13,IGHJ4*03,5
25,IGHJ6*01,1
14,IGHJ2*01,33
1,IGHJ6*03,71
22,IGHJ6*01,1
21,IGHJ6*03,19
8,IGHJ6*01,2
28,IGHJ6*04,3
26,IGHJ6*01,1
10,IGHJ4*01,2
27,IGHJ1*01,1
2,IGHJ4*02,302
20,IGHJ4*02,62
16,IGHJ6*03,38
1,IGHJ4*01,15
16,IGHJ5*01,1
25,IGHJ6*03,2
19,IGHJ1*01,4
9,IGHJ3*02,73
4,IGHJ4*03,1
20,IGHJ3*01,1
11,IGHJ3*01,67
2,IGHJ3*01,15
17,IGHJ3*02,7
29,IGHJ6*04,6
16,IGHJ4*03,2
5,IGHJ5*01,10
3,IGHJ6*02,61
8,IGHJ6*02,411
15,IGHJ6*02,63
4,IGHJ6*01,1
23,IGHJ6*03,6
21,IGHJ4*02,39
3,IGHJ3*02,465
26,IGHJ4*02,1
25,IGHJ5*02,1
7,IGHJ5*01,13
26,IGHJ6*04,1
7,IGHJ6*01,2
