v_5p_del,v_gene,count
127,IGHV1-2*02,3
4,IGHV3-30*03,2
224,IGHV3-7*03,1
236,IGHV3-23*04,1
14,IGHV1-69*04,1
213,IGHV4-61*01,1
200,IGHV3-49*04,4
41,IGHV1-2*02,6
24,IGHV1-69*04,2
39,IGHV1-69*04,5
40,IGHV4-59*08,5
149,IGHV4-31*03,1
240,IGHV4-31*03,1
33,IGHV1-2*02,27
4,IGHV3-7*03,11
98,IGHV1-18*04+G278A,1
71,IGHV1-69*04+G278T,20
216,IGHV5-10-1*01,1
147,IGHV5-51*01,2
132,IGHV1-69*04+G278T,4
96,IGHV5-10-1*01,1
130,IGHV4-61*01,13
44,IGHV4-30-2*05,1
37,IGHV3-74*01,1
55,IGHV4-31*03,5
125,IGHV1-18*04+G278A,1
251,IGHV3-64*04,1
20,IGHV1-69*04,1
109,IGHV1-46*01,1
87,IGHV4-39*01,1
15,IGHV3-7*03,12
179,IGHV6-1*01,1
207,IGHV4-34*09,1
2,IGHV4-59*08,22
259,IGHV1-18*04,3
153,IGHV3-30*03,1
184,IGHV4-4*07,1
194,IGHV3-66*03,6
162,IGHV4-34*01,6
225,IGHV1-2*02,6
161,IGHV4-30-2*05,2
237,IGHV5-51*01,8
145,IGHV4-61*02,1
101,IGHV1-69*04+G278T,5
147,IGHV4-59*08,2
41,IGHV3-30*03,2
225,IGHV3-66*01,2
100,IGHV4-61*01,6
199,IGHV3-23*04,1
78,IGHV1-24*01,5
160,IGHV3-7*03,1
247,IGHV3-NL1*01,14
28,IGHV1-46*01,2
1,IGHV4-31*03,6
107,IGHV3-49*04,1
54,IGHV1-69*04,1
53,IGHV1-69*04,3
149,IGHV4-61*02,1
13,IGHV1-69*04+G278T,1
186,IGHV3-NL1*01,1
16,IGHV3-7*03,24
72,IGHV4-39*01,11
73,IGHV3-30*03,6
71,IGHV1-18*04,17
224,IGHV1-18*04+G278A,1
13,IGHV3-74*01,1
267,IGHV4-61*02,1
187,IGHV3-7*03,2
90,IGHV4-34*01,1
174,IGHV3-30*03,1
269,IGHV4-39*01,1
145,IGHV3-43*02,2
208,IGHV1-2*02,38
237,IGHV4-59*08,2
237,IGHV3-30*03,1
76,IGHV4-59*08,5
138,IGHV3-66*03,1
244,IGHV4-39*01,1
261,IGHV4-61*01,1
245,IGHV4-30-2*05,10
247,IGHV3-7*03,4
68,IGHV4-34*09,1
77,IGHV3-74*01,1
90,IGHV3-7*03,9
125,IGHV3-30*03,24
55,IGHV3-15*01,2
119,IGHV3-7*03,11
220,IGHV4-34*01,1
157,IGHV3-66*03,1
138,IGHV4-31*03,1
86,IGHV4-30-2*05,1
122,IGHV1-69*04,1
251,IGHV4-39*01,1
230,IGHV4-61*02,1
154,IGHV1-69-2*01,1
3,IGHV4-39*01,3
227,IGHV3-48*03,3
146,IGHV3-23*04,4
136,IGHV3-7*03,8
52,IGHV4-34*01,15
213,IGHV1-69*04+G278T,2
234,IGHV4-30-2*05,1
201,IGHV3-23*04,1
110,IGHV3-7*03,1
115,IGHV4-31*03,1
7,IGHV5-51*01,1
137,IGHV4-59*08,1
52,IGHV4-39*01,7
185,IGHV4-59*08,4
161,IGHV3-66*03,2
126,IGHV3-30*03,8
27,IGHV1-69*04+G278T,4
163,IGHV3-7*03,1
172,IGHV4-4*02,1
44,IGHV4-31*03,9
22,IGHV3-7*03,2
19,IGHV1-69*04+G278T,5
61,IGHV3-23*04,1
147,IGHV3-7*03,39
151,IGHV4-4*07,1
101,IGHV4-61*01,3
97,IGHV5-51*01,1
185,IGHV1-18*04,1
81,IGHV3-21*01,14
2,IGHV3-15*01,2
77,IGHV3-7*03,4
91,IGHV1-18*04,10
48,IGHV5-51*01,1
207,IGHV4-59*08,1
174,IGHV3-7*03,16
90,IGHV4-39*01,1
143,IGHV4-30-2*05,1
244,IGHV1-3*01,2
10,IGHV4-39*01+G281C,2
65,IGHV1-69*04+G278T,24
151,IGHV3-30*03,7
64,IGHV4-61*01,2
151,IGHV3-20*01,2
0,IGHV1-46*01,3
210,IGHV4-34*01,1
173,IGHV3-11*05,1
99,IGHV3-74*01,1
177,IGHV5-51*01,1
92,IGHV4-34*01,9
261,IGHV3-7*03,1
190,IGHV4-59*10,4
17,IGHV4-34*01,2
175,IGHV3-64*04,1
146,IGHV4-59*08,4
144,IGHV3-23*04,19
79,IGHV4-59*08,3
217,IGHV3-64*04,1
81,IGHV4-31*03,34
79,IGHV1-18*04+G278A,12
237,IGHV3-11*05,1
137,IGHV4-31*03,16
194,IGHV4-61*02,1
125,IGHV4-61*02,1
137,IGHV1-69*04+G278T,1
142,IGHV3-23*04,11
244,IGHV3-23*03,1
202,IGHV4-39*01+G281C,1
73,IGHV3-11*05,1
