v_gene,d_gene,j_gene,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,cdr3_length,count
IGHV4-59*08,IGHD3-16*02,IGHJ6*03,58,1,17,3,8,0,0,0,0,0,51,1
IGHV6-1*01,IGHD3-10*01,IGHJ6*03,267,7,4,7,0,0,0,46,0,0,102,1
IGHV3-43*02,IGHD6-13*01,IGHJ6*02,249,2,1,0,0,0,0,5,1,1,69,1
IGHV3-7*03,IGHD1-26*01,IGHJ4*02,0,0,6,2,2,0,0,7,0,0,45,1
IGHV1-69*04,IGHD2-2*01,IGHJ4*02,161,4,3,5,0,0,0,10,12,0,69,1
IGHV1-2*02,IGHD6-19*01,IGHJ5*02,147,0,0,1,1,0,0,9,10,0,69,1
IGHV3-30*03,IGHD2-2*02,IGHJ4*02,42,0,1,1,1,0,0,1,3,0,60,1
IGHV1-2*02,IGHD5/OR15-5a*01,IGHJ4*02,168,1,3,1,13,0,0,6,0,0,39,1
IGHV5-51*01,IGHD6-13*01,IGHJ6*02,46,1,3,0,1,0,0,0,1,0,60,1
IGHV3-30*03,IGHD5-18*01,IGHJ4*02,145,0,2,0,8,0,0,9,7,0,54,9
IGHV3-30*03,IGHD3-22*01,IGHJ4*02,38,1,10,6,1,0,0,2,0,0,43,1
IGHV3-7*03,IGHD5-12*01,IGHJ4*02,0,1,0,10,3,11,0,0,2,0,39,1
IGHV1-2*02,IGHD6-6*01,IGHJ4*02,103,1,2,0,5,0,0,1,0,0,39,1
IGHV3-23*04,IGHD1-26*01,IGHJ6*02,134,0,5,2,9,0,0,1,3,0,51,1
IGHV3-64*04,IGHD2-2*01,IGHJ4*02,209,2,12,0,11,0,0,11,0,0,45,1
IGHV4-39*01,IGHD1-26*01,IGHJ3*02,193,8,2,1,4,0,0,10,12,0,57,1
IGHV3-30*03,IGHD3-3*01,IGHJ6*03,86,0,0,9,18,0,0,1,0,0,48,1
IGHV1-2*02,IGHD3-10*01,IGHJ5*02,11,2,6,0,2,0,0,5,0,0,57,1
IGHV1-69*04+G278T,IGHD4-17*01,IGHJ4*02,9,0,1,2,8,0,0,12,6,0,51,1
IGHV4-34*01,IGHD4-17*01,IGHJ4*02,82,0,0,0,3,0,0,6,7,0,54,1
IGHV1-2*02,IGHD6-19*01,IGHJ5*02,8,1,3,2,15,0,0,5,0,0,36,1
IGHV4-59*08,IGHD5-18*01,IGHJ4*02,0,0,0,4,0,0,0,4,5,0,53,5
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,237,0,0,0,8,0,0,1,7,0,51,1
IGHV3-NL1*01,IGHD3/OR15-3a*01,IGHJ6*02,242,0,9,9,9,0,0,14,0,0,61,1
IGHV1-18*04,IGHD2-15*01,IGHJ5*02,126,1,1,1,0,0,0,2,2,0,63,1
IGHV4-4*07,IGHD6-19*01,IGHJ5*02,35,0,2,0,5,0,0,3,0,0,48,1
IGHV1-18*04,IGHD2-15*01,IGHJ4*02,75,0,8,0,6,0,0,3,0,0,48,1
