v_gene,d_gene,j_gene,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,cdr3_length,count
IGHV1-46*01,IGHD2-21*02,IGHJ6*02,61,1,0,2,6,0,0,22,9,17,93,1
IGHV3-30*03,IGHD6-19*01,IGHJ4*02,187,2,4,1,1,0,0,10,0,30,51,1
IGHV4-59*08,IGHD4/OR15-4a*01,IGHJ4*02,133,0,1,0,5,0,0,3,4,30,48,1
IGHV1-18*04,IGHD2-2*03,IGHJ4*02,75,0,0,2,3,0,0,5,7,30,66,1
IGHV3-7*03,IGHD1-1*01,IGHJ4*02,32,1,3,10,13,0,0,24,0,30,42,1
IGHV4-59*08,IGHD6-19*01,IGHJ4*02,52,1,5,0,2,0,0,9,1,29,51,1
IGHV4-61*01,IGHD2-15*01,IGHJ3*02,100,3,0,2,3,0,0,6,1,30,60,1
IGHV4-39*01+G281C,IGHD3-10*01,IGHJ6*03,200,0,4,4,15,0,0,9,3,30,63,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02,9,2,8,0,5,0,0,8,14,25,56,1
IGHV3-64*04,IGHD2-2*01,IGHJ4*02,211,2,3,5,6,0,0,2,0,116,45,1
IGHV3-21*01,IGHD2-2*01,IGHJ5*02,192,2,0,2,3,0,0,2,3,30,60,1
IGHV3-NL1*01,IGHD3-3*02,IGHJ6*02,257,0,0,9,9,0,0,3,0,119,59,1
IGHV3-NL1*01,IGHD3-3*02,IGHJ6*02,254,0,0,9,9,0,0,3,0,109,59,1
IGHV3-49*04,IGHD1-7*01,IGHJ2*01,227,3,0,6,7,0,0,26,0,116,60,1
IGHV3-30*03,IGHD3-3*02,IGHJ6*02,142,0,0,9,9,0,0,3,0,110,59,1
IGHV3-48*03,IGHD4-17*01,IGHJ3*02,13,2,1,0,5,0,0,9,14,30,61,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,75,0,0,1,3,0,0,1,3,22,51,1
IGHV3-30*03,IGHD2-8*01,IGHJ4*02,119,2,6,15,15,0,0,24,0,116,45,1
IGHV4-4*07,IGHD3-10*01,IGHJ3*02,121,1,1,3,0,0,0,2,11,30,69,2
IGHV1-69*04+G278T,IGHD2-21*02,IGHJ5*02,20,1,4,1,4,3,0,5,0,0,54,1
IGHV3-7*03,IGHD1-1*01,IGHJ4*02,7,1,3,10,13,0,0,21,0,30,39,24
IGHV3-23*04,IGHD3-10*01,IGHJ4*02,52,0,1,10,4,0,0,4,9,30,57,1
IGHV4-34*01,IGHD1-26*01,IGHJ3*01,0,8,2,0,1,0,0,10,2,30,51,2
IGHV3-7*03,IGHD1-26*01,IGHJ3*02,30,0,7,0,6,0,0,5,8,30,50,1
IGHV4-34*01,IGHD3-3*01,IGHJ6*03,180,0,5,3,2,0,0,22,0,29,86,1
IGHV3-7*03,IGHD3-10*01,IGHJ5*02,192,1,0,13,27,0,0,4,0,30,25,1
IGHV3-23*04,IGHD3-10*01,IGHJ5*01,160,0,2,21,20,0,0,14,0,116,33,1
IGHV1-69*04+G278T,IGHD2-8*02,IGHJ4*02,159,4,3,7,0,0,0,10,14,30,69,1
IGHV4-31*03,IGHD6-19*01,IGHJ6*02,42,1,0,4,10,0,0,8,0,31,57,1
IGHV3-15*01,IGHD3-10*01,IGHJ6*02,192,1,6,6,5,0,0,1,0,23,57,1
IGHV3-30*03,IGHD3-10*01,IGHJ4*02,192,0,0,15,23,0,0,33,0,116,54,1
IGHV4-59*08,IGHD6-19*01,IGHJ5*02,46,0,0,0,6,0,0,16,4,24,66,1
IGHV1-69*04+G278T,IGHD5-12*01,IGHJ4*02,48,0,0,1,3,0,0,1,3,30,51,1
IGHV1-69*04+G278T,IGHD4-17*01,IGHJ4*02,84,0,1,2,8,0,0,12,6,16,51,1
IGHV3-43*02,IGHD3-22*01,IGHJ6*02,230,3,0,5,6,0,0,10,0,117,72,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02,248,1,0,0,0,0,0,0,14,30,72,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02,215,0,0,15,23,0,0,33,0,115,54,1
IGHV1-2*02,IGHD3-16*02,IGHJ3*02,151,0,3,18,16,0,0,6,0,115,36,1
